year,theme,theme_name,citations,title,authors,venue,doi,url
2025,B,Wave measurement methodology,0,A Comparison of Wave Directional Spreading Measurements Made With a Spotter Buoy and a Directional Waverider Buoy in Parallel,"Ewans, Collins",Journal of Offshore Mechanics and Arctic Engineering,10.1115/1.4070167,https://doi.org/10.1115/1.4070167
2025,B,Wave measurement methodology,0,Assessment of bimodal sea states by the wave buoy analogy method,"Piscopo, Ascione, Scamardella",Ocean Engineering,10.1016/j.oceaneng.2025.122258,https://doi.org/10.1016/j.oceaneng.2025.122258
2025,C,Field campaigns & observations,0,IMPACT OF DATA ASSIMILATION FOR TYPHOON-GENERATED EXTREME WAVE BASED ON DRIFTING WAVE BUOY OBSERVATION,"Yamasaki, Shimura, Miyashita, Mori",Coastal Engineering Proceedings,10.9753/icce.v38.waves.55,https://doi.org/10.9753/icce.v38.waves.55
2025,B,Wave measurement methodology,0,A Directional Wave Spectrum Inversion Algorithm with HF Surface Wave Radar Network,"Mo, Wu, Li, Yu, Zhou",Remote Sensing,10.3390/rs17152573,https://doi.org/10.3390/rs17152573
2025,E,Validation & intercomparison,0,Evaluation of Measurement Uncertainty for the Wave Buoy Calibration Device Using a Vertical Lifting Method,"Huang, Zhao, Gao, Yan, He",Journal of Marine Science and Engineering,10.3390/jmse13030605,https://doi.org/10.3390/jmse13030605
2025,D,"Drift, transport & trajectory",0,A Combined HF Radar and Drifter Dataset for Analysis of Highly Variable Surface Currents,"Doronzo, Bendoni, Taddei, Boccacci, Brandini",Data,10.3390/data10070115,https://doi.org/10.3390/data10070115
2025,A,Platform & sensor hardware,0,"Lagrangian dispersion in the Red River plume region, Northeast Vietnam, from drifter observations and modeling","Sentchev, Nguyen-Duc, Berti, Ayoub, Vinh",Journal of Marine Systems,10.1016/j.jmarsys.2025.104143,https://doi.org/10.1016/j.jmarsys.2025.104143
2025,B,Wave measurement methodology,0,Variation In Wave Steepness and Wave Age-A Case Study in The Arabian Sea from Buoy Measurements During Post-Monsoon,"Kalyani, G, R, H, K, Muthiah",Journal of Offshore Structure and Technology,10.37591/joost.v12i02.217546,https://doi.org/10.37591/joost.v12i02.217546
2024,B,Wave measurement methodology,21,Comparing machine learning-based sea state estimates by the wave buoy analogy,"Nielsen, Iwase, Mounet",Applied Ocean Research,10.1016/j.apor.2024.104042,https://doi.org/10.1016/j.apor.2024.104042
2024,B,Wave measurement methodology,19,Two-buoy and single-buoy floating wave energy converters: A numerical comparison,"Li, Dong, Borthwick, Sharma, Wang, Huang et al.",Energy,10.1016/j.energy.2024.131219,https://doi.org/10.1016/j.energy.2024.131219
2024,B,Wave measurement methodology,17,Achieving efficient power generation for an enclosed drifting buoy by multi-DOF wave energy harvesting,"Wang, Lin, Li, Jiang, Wu, Lu",Ocean Engineering,10.1016/j.oceaneng.2024.117834,https://doi.org/10.1016/j.oceaneng.2024.117834
2024,A,Platform & sensor hardware,13,Lagrangian characterization of the southwestern Atlantic from a dense surface drifter deployment,"Saraceno, Bodnariuk, Ruiz-Etcheverry, Berta, Simionato, Beron-Vera et al.",Deep Sea Research Part I: Oceanographic Research Papers,10.1016/j.dsr.2024.104319,https://doi.org/10.1016/j.dsr.2024.104319
2024,D,"Drift, transport & trajectory",10,Lagrangian surface drifter observations in the  North Sea: an overview of high-resolution  tidal dynamics and surface currents,"Deyle, Badewien, Wurl, Meyerjürgens",Earth System Science Data,10.5194/essd-16-2099-2024,https://doi.org/10.5194/essd-16-2099-2024
2024,G,Air-sea interaction & remote sensing,10,Footprint of the air-sea momentum transfer saturation observed by ocean wave buoy network in extreme tropical cyclones,"Shimura, Mori, Miyashita",Coastal Engineering,10.1016/j.coastaleng.2024.104537,https://doi.org/10.1016/j.coastaleng.2024.104537
2024,B,Wave measurement methodology,9,Reconstruction of significant wave height distribution from sparse buoy data by using deep learning,"Duan, Zhang, Cao, Sun, Zhang, Huang",Coastal Engineering,10.1016/j.coastaleng.2024.104616,https://doi.org/10.1016/j.coastaleng.2024.104616
2024,A,Platform & sensor hardware,8,Real-Time and Long-Term Monitoring of Coastal Water Turbidity Using an Ocean Buoy Equipped with an ADCP,"Bian, Huang",Sensors,10.3390/s24216979,https://doi.org/10.3390/s24216979
2024,B,Wave measurement methodology,7,Ocean Wave Directional Distribution from GPS Buoy Observations off the West Coast of Ireland: Assessment of a Wavelet-Based Method,"Peláez-Zapata, Pakrashi, Dias",Journal of Atmospheric and Oceanic Technology,10.1175/jtech-d-23-0058.1,https://doi.org/10.1175/jtech-d-23-0058.1
2024,B,Wave measurement methodology,6,Investigating the influence of geometry on the performance of a wave-powered marine observation buoy: The wave-to-wire approach,"Wang, Yang, Li, Lin, Wen",Energy,10.1016/j.energy.2024.133022,https://doi.org/10.1016/j.energy.2024.133022
